a,b,c,d
13.6,28.2,82.6,-27.979411764705883
37.2,94.4,243.20000000000002,-94.31935483870969
35.1,56.8,197.2,-56.71452991452991
33.4,34.8,168.39999999999998,-34.71017964071856
32.9,36.5,168.1,-36.40881458966565
10.0,44.6,84.6,-44.300000000000004
97.3,7.8,397.0,-7.7691675231243575
15.8,56.7,119.9,-56.51012658227848
39.7,36.6,195.4,-36.524433249370276
47.1,20.8,209.20000000000002,-20.736305732484077
98.4,99.8,493.40000000000003,-99.76951219512195
67.2,64.0,332.8,-63.955357142857146
86.5,48.4,394.4,-48.365317919075146
39.2,24.5,181.3,-24.4234693877551
23.1,88.1,180.5,-87.97012987012987
43.7,58.4,233.20000000000002,-58.33135011441647
93.0,22.3,394.3,-22.267741935483873
51.7,2.4,209.20000000000002,-2.3419729206963247
56.8,80.0,307.2,-79.94718309859155
57.5,32.4,262.4,-32.34782608695652
16.3,27.9,93.1,-27.715950920245398
80.2,18.5,339.3,-18.462593516209477
57.1,7.3,235.70000000000002,-7.247460595446585
98.6,32.9,427.29999999999995,-32.86957403651115
94.0,23.8,399.8,-23.76808510638298
14.6,73.8,132.2,-73.59452054794521
52.8,91.4,302.6,-91.34318181818182
18.4,1.9,75.5,-1.7369565217391303
27.6,81.9,192.3,-81.7913043478261
46.3,47.0,232.2,-46.93520518358531
19.6,88.1,166.5,-87.9469387755102
35.5,36.5,178.5,-36.41549295774648
31.6,54.5,180.9,-54.40506329113924
72.0,40.7,328.7,-40.65833333333334
57.3,35.1,264.3,-35.04764397905759
58.1,92.4,324.8,-92.34836488812392
13.0,72.0,124.0,-71.76923076923077
76.8,77.5,384.7,-77.4609375
84.4,1.2,338.8,-1.1644549763033174
49.1,44.0,240.4,-43.93890020366599
43.2,9.6,182.4,-9.530555555555555
94.5,44.6,422.6,-44.56825396825397
80.5,50.6,372.6,-50.56273291925466
13.0,73.1,125.1,-72.86923076923077
91.3,4.2,369.4,-4.167141292442498
69.3,95.3,372.5,-95.25670995670995
59.4,53.9,291.5,-53.84949494949495
61.3,32.2,277.4,-32.1510603588907
63.3,67.1,320.29999999999995,-67.05260663507109
74.5,92.5,390.5,-92.45973154362416
40.0,75.3,235.3,-75.225
65.4,77.7,339.3,-77.65412844036697
9.4,47.3,84.9,-46.98085106382978
13.9,56.4,112.0,-56.184172661870505
28.8,65.7,180.9,-65.59583333333333
34.2,54.3,191.10000000000002,-54.21228070175438
52.7,45.9,256.7,-45.84307400379507
99.9,67.4,467.0,-67.36996996996997
60.0,59.5,299.5,-59.45
48.7,44.0,238.8,-43.93839835728953
47.4,90.3,279.9,-90.23670886075949
11.3,31.9,77.1,-31.634513274336282
63.8,90.6,345.79999999999995,-90.55297805642633
60.9,14.1,257.7,-14.050738916256158
90.0,95.4,455.4,-95.36666666666667
64.0,13.5,269.5,-13.453125
97.2,38.7,427.5,-38.669135802469135
27.2,18.9,127.69999999999999,-18.78970588235294
60.6,62.9,305.3,-62.85049504950495
94.1,29.7,406.09999999999997,-29.668119022316684
15.4,62.3,123.9,-62.1051948051948
79.0,36.5,352.5,-36.462025316455694
78.3,69.9,383.1,-69.8616858237548
25.1,95.2,195.60000000000002,-95.08047808764941
24.2,90.9,187.7,-90.77603305785125
71.0,87.3,371.3,-87.25774647887323
50.0,10.4,210.4,-10.34
56.8,48.7,275.9,-48.647183098591555
66.6,64.6,331.0,-64.55495495495495
42.5,81.5,251.5,-81.42941176470588
56.5,65.0,291.0,-64.94690265486726
6.9,25.7,53.3,-25.265217391304347
51.8,76.4,283.6,-76.34208494208495
16.6,43.6,110.0,-43.41927710843374
58.5,18.9,252.9,-18.848717948717947
4.2,67.2,84.0,-66.4857142857143
67.5,44.0,314.0,-43.955555555555556
10.9,68.3,111.9,-68.02477064220183
46.1,33.7,218.10000000000002,-33.63492407809111
38.5,88.4,242.4,-88.32207792207792
9.1,12.7,49.099999999999994,-12.370329670329669
63.6,42.4,296.8,-42.35283018867924
7.1,15.1,43.5,-14.677464788732394
97.9,42.5,434.1,-42.469356486210415
67.6,53.4,323.79999999999995,-53.355621301775145
90.7,78.2,441.0,-78.16692392502756
59.7,8.5,247.3,-8.449748743718594
94.7,23.5,402.3,-23.46832101372756
8.5,24.0,58.0,-23.647058823529413
75.2,38.5,339.3,-38.46010638297872
68.5,21.7,295.7,-21.656204379562045
68.0,44.2,316.2,-44.15588235294118
40.2,59.4,220.20000000000002,-59.32537313432836
28.9,56.6,172.2,-56.4961937716263
14.0,55.8,111.8,-55.58571428571428
7.9,41.8,73.4,-41.42025316455696
34.7,97.9,236.70000000000002,-97.81354466858791
65.2,81.4,342.20000000000005,-81.35398773006135
40.4,99.8,261.4,-99.72574257425742
6.1,32.2,56.6,-31.708196721311477
93.7,38.0,412.8,-37.967982924226256
74.6,74.9,373.29999999999995,-74.85978552278821
32.3,55.0,184.2,-54.907120743034056
68.0,30.6,302.6,-30.55588235294118
22.3,66.6,155.8,-66.46547085201793
59.1,33.4,269.8,-33.3492385786802
32.7,1.2,132.0,-1.108256880733945
93.4,60.1,433.70000000000005,-60.06788008565311
61.9,13.8,261.4,-13.751534733441035
9.1,10.4,46.8,-10.07032967032967
29.5,37.1,155.1,-36.998305084745766
68.8,80.1,355.29999999999995,-80.0563953488372
50.2,83.9,284.70000000000005,-83.84023904382471
18.1,6.9,79.30000000000001,-6.734254143646409
18.9,67.5,143.1,-67.34126984126983
96.4,88.9,474.5,-88.8688796680498
63.1,16.0,268.4,-15.952456418383518
16.2,68.8,133.6,-68.6148148148148
36.7,46.7,193.5,-46.61825613079019
8.9,17.0,52.6,-16.662921348314608
15.3,78.2,139.4,-78.00392156862745
53.0,80.3,292.3,-80.24339622641509
46.9,30.9,218.5,-30.83603411513859
75.6,17.9,320.29999999999995,-17.860317460317457
85.6,4.5,346.9,-4.464953271028038
70.5,68.3,350.3,-68.25744680851064
99.1,89.8,486.2,-89.76972754793138
12.5,80.2,130.2,-79.96000000000001
29.4,61.7,179.3,-61.597959183673474
45.5,49.1,231.1,-49.034065934065936
25.5,95.1,197.1,-94.98235294117646
29.8,20.0,139.2,-19.899328859060404
7.7,90.4,121.2,-90.01038961038961
85.8,23.2,366.4,-23.165034965034966
41.3,20.8,186.0,-20.727360774818404
87.7,18.6,369.40000000000003,-18.565792474344356
96.7,18.9,405.7,-18.86897621509824
68.5,96.9,370.9,-96.85620437956204
60.3,28.9,270.09999999999997,-28.850248756218903
71.2,73.0,357.8,-72.95786516853933
21.3,11.0,96.2,-10.859154929577464
47.0,52.7,240.7,-52.63617021276596
90.4,65.1,426.70000000000005,-65.06681415929204
4.5,75.9,93.9,-75.23333333333333
73.5,57.4,351.4,-57.35918367346939
79.5,34.2,352.2,-34.1622641509434
93.6,53.2,427.59999999999997,-53.16794871794872
97.1,51.4,439.79999999999995,-51.369104016477856
36.9,65.2,212.8,-65.11869918699188
99.8,64.7,463.9,-64.66993987975953
3.5,40.6,54.6,-39.74285714285715
59.9,2.0,241.6,-1.9499165275459098
49.6,43.4,241.8,-43.339516129032255
10.1,21.3,61.7,-21.002970297029705
53.2,75.5,288.3,-75.44360902255639
15.8,33.4,96.6,-33.21012658227848
82.8,80.6,411.79999999999995,-80.56376811594203
48.5,4.7,198.7,-4.638144329896908
23.6,40.6,135.0,-40.4728813559322
78.7,86.4,401.20000000000005,-86.36188055908514
68.9,4.9,280.5,-4.856458635703919
31.9,90.0,217.6,-89.90595611285266
92.6,21.9,392.29999999999995,-21.867602591792654
73.8,6.7,301.9,-6.659349593495935
3.6,60.9,75.3,-60.06666666666666
80.2,14.3,335.1,-14.262593516209478
66.6,95.1,361.5,-95.05495495495495
17.3,71.3,140.5,-71.12658959537572
97.5,37.6,427.6,-37.56923076923077
40.0,92.4,252.4,-92.325
25.3,10.1,111.3,-9.981422924901185
50.2,80.3,281.1,-80.2402390438247
89.5,61.2,419.2,-61.16648044692738
92.6,83.2,453.59999999999997,-83.16760259179266
73.2,64.5,357.3,-64.45901639344262
1.1,34.0,38.4,-31.272727272727273
32.5,47.3,177.3,-47.207692307692305
81.3,76.5,401.7,-76.46309963099631
1.0,4.2,8.2,-1.2000000000000002
25.7,84.4,187.2,-84.28326848249027
83.7,62.6,397.40000000000003,-62.56415770609319
75.5,44.6,346.6,-44.560264900662254
13.6,32.9,87.3,-32.67941176470588
66.0,31.7,295.7,-31.654545454545453
82.7,10.7,341.5,-10.66372430471584
23.5,46.2,140.2,-46.07234042553192
35.8,39.9,183.1,-39.816201117318435
48.7,80.4,275.20000000000005,-80.33839835728953
64.6,70.3,328.7,-70.25356037151703
6.3,62.7,87.9,-62.22380952380953
5.3,43.7,64.9,-43.133962264150945
8.1,96.0,128.4,-95.62962962962963
79.3,50.7,367.9,-50.66216897856243
54.2,12.2,229.0,-12.144649446494464
19.4,55.5,133.1,-55.345360824742265
12.2,6.4,55.199999999999996,-6.1540983606557385
49.1,23.1,219.5,-23.03890020366599
92.4,6.8,376.40000000000003,-6.767532467532467
87.8,69.7,420.9,-69.66583143507972
70.2,26.6,307.40000000000003,-26.55726495726496
32.5,77.0,207.0,-76.9076923076923
93.0,30.8,402.8,-30.767741935483873
38.2,53.9,206.70000000000002,-53.82146596858639
78.1,30.1,342.5,-30.061587708066583
75.8,69.6,372.79999999999995,-69.56042216358838
99.9,64.4,464.0,-64.36996996996997
62.3,26.4,275.59999999999997,-26.351845906902085
91.3,9.1,374.3,-9.067141292442496
57.4,95.7,325.3,-95.64773519163764
2.9,81.2,92.8,-80.16551724137932
9.5,77.9,115.9,-77.5842105263158
49.6,17.0,215.4,-16.93951612903226
47.5,44.5,234.5,-44.43684210526316
24.9,80.2,179.8,-80.07951807228916
62.0,49.2,297.2,-49.15161290322581
5.1,83.6,104.0,-83.01176470588234
97.8,71.4,462.6,-71.36932515337423
85.1,97.2,437.59999999999997,-97.1647473560517
31.4,47.8,173.39999999999998,-47.70445859872611
61.3,90.7,335.9,-90.6510603588907
60.5,11.5,253.5,-11.450413223140496
80.3,28.0,349.2,-27.9626400996264
51.0,38.2,242.2,-38.141176470588235
86.3,7.2,352.4,-7.165237543453071
60.6,59.3,301.7,-59.25049504950495
27.9,1.2,112.8,-1.09247311827957
95.2,54.5,435.3,-54.46848739495798
89.5,11.2,369.2,-11.166480446927373
24.2,63.8,160.6,-63.676033057851235
45.1,58.3,238.7,-58.23348115299334
40.6,65.1,227.5,-65.02610837438424
10.6,85.6,128.0,-85.31698113207547
9.1,2.9,39.3,-2.57032967032967
85.3,26.9,368.09999999999997,-26.864830011723328
68.0,87.3,359.3,-87.25588235294117
73.2,29.6,322.40000000000003,-29.559016393442626
93.8,32.7,407.9,-32.6680170575693
3.6,47.8,62.199999999999996,-46.96666666666666
76.8,25.4,332.59999999999997,-25.3609375
80.3,49.4,370.59999999999997,-49.3626400996264
5.5,86.8,108.8,-86.25454545454545
55.9,18.0,241.6,-17.94633273703041
42.2,33.2,202.0,-33.12890995260664
54.9,90.7,310.3,-90.64535519125684
37.2,50.6,199.4,-50.51935483870968
42.3,12.7,181.89999999999998,-12.629078014184396
55.5,64.2,286.2,-64.14594594594595
51.7,67.3,274.1,-67.24197292069633
17.8,21.5,92.7,-21.331460674157302
21.0,63.8,147.8,-63.65714285714285
6.6,56.6,83.0,-56.14545454545455
49.4,50.8,248.39999999999998,-50.73927125506073
97.1,14.2,402.59999999999997,-14.169104016477856
33.2,18.6,151.4,-18.50963855421687
9.6,67.0,105.4,-66.6875
25.2,95.6,196.39999999999998,-95.48095238095237
72.1,63.9,352.29999999999995,-63.85839112343967
87.3,3.2,352.4,-3.1656357388316154
48.9,58.1,253.7,-58.038650306748465
14.8,51.6,110.80000000000001,-51.3972972972973
67.2,50.6,319.40000000000003,-50.55535714285715
28.8,25.8,141.0,-25.695833333333333
85.2,71.4,412.20000000000005,-71.36478873239437
9.2,42.3,79.1,-41.973913043478255
43.0,37.2,209.2,-37.13023255813954
83.1,94.0,426.4,-93.96389891696751
20.4,86.9,168.5,-86.7529411764706
93.6,22.8,397.2,-22.76794871794872
24.3,82.0,179.2,-81.87654320987654
71.5,4.5,290.5,-4.458041958041958
13.1,11.1,63.5,-10.870992366412214
75.3,98.4,399.6,-98.36015936254981
18.8,61.4,136.6,-61.240425531914894
47.6,83.2,273.6,-83.13697478991597
26.2,36.6,141.4,-36.48549618320611
37.3,79.6,228.79999999999998,-79.5195710455764
89.8,89.3,448.5,-89.26659242761693
13.5,48.4,102.4,-48.17777777777778
81.2,65.1,389.9,-65.06305418719211
93.4,1.2,374.8,-1.1678800856531049
97.6,93.3,483.7,-93.26926229508196
60.5,19.8,261.8,-19.750413223140498
26.3,15.0,120.2,-14.885931558935361
80.8,54.4,377.59999999999997,-54.36287128712871
60.4,48.0,289.6,-47.950331125827816
27.1,46.2,154.60000000000002,-46.089298892988936
16.9,63.6,131.2,-63.42248520710059
26.7,97.3,204.1,-97.1876404494382
12.3,3.6,52.800000000000004,-3.35609756097561
66.7,16.3,283.1,-16.25502248875562
59.6,58.6,297.0,-58.5496644295302
29.3,58.9,176.1,-58.79761092150171
13.5,6.1,60.1,-5.877777777777777
12.0,7.2,55.2,-6.95
72.2,23.8,312.6,-23.758448753462606
12.2,78.6,127.39999999999999,-78.35409836065573
29.9,25.5,145.1,-25.399665551839465
68.4,3.9,277.5,-3.856140350877193
28.8,74.9,190.10000000000002,-74.79583333333333
64.3,82.5,339.7,-82.45334370139969
79.1,18.5,334.9,-18.462073324905184
76.2,87.1,391.9,-87.06062992125983
58.3,17.6,250.79999999999998,-17.548542024013724
4.3,34.9,52.099999999999994,-34.20232558139535
11.1,98.9,143.3,-98.62972972972973
44.9,25.6,205.2,-25.533184855233856
85.3,13.5,354.7,-13.464830011723329
57.5,23.5,253.5,-23.44782608695652
6.8,22.4,49.599999999999994,-21.958823529411763
32.2,9.8,138.60000000000002,-9.706832298136646
95.3,39.9,421.09999999999997,-39.868520461699894
66.2,71.3,336.1,-71.25468277945619
72.3,84.5,373.7,-84.45850622406638
21.9,26.1,113.69999999999999,-25.96301369863014
20.0,32.9,112.9,-32.75
60.2,49.6,290.40000000000003,-49.55016611295681
61.3,82.8,328.0,-82.7510603588907
95.2,27.1,407.90000000000003,-27.068487394957984
89.4,19.4,377.0,-19.366442953020133
67.9,18.4,290.0,-18.35581737849779
83.4,15.6,349.20000000000005,-15.564028776978416
33.4,78.7,212.3,-78.61017964071857
48.7,60.0,254.8,-59.93839835728953
44.8,80.1,259.29999999999995,-80.0330357142857
97.8,54.1,445.3,-54.06932515337424
28.0,92.5,204.5,-92.39285714285714
21.8,15.8,103.0,-15.662385321100919
48.7,98.3,293.1,-98.23839835728953
90.9,45.9,409.5,-45.86699669966997
93.0,88.0,460.0,-87.96774193548387
93.5,58.8,432.8,-58.76791443850267
53.6,62.5,276.9,-62.44402985074627
27.9,26.7,138.29999999999998,-26.592473118279568
28.0,52.9,164.9,-52.792857142857144
43.5,52.3,226.3,-52.231034482758616
99.2,15.8,412.6,-15.76975806451613
71.6,14.7,301.09999999999997,-14.658100558659218
13.2,91.6,144.39999999999998,-91.37272727272726
65.1,28.1,288.5,-28.053917050691247
2.2,71.1,79.89999999999999,-69.73636363636363
89.9,98.6,458.20000000000005,-98.56662958843158
99.0,97.2,493.2,-97.16969696969697
90.3,42.7,403.9,-42.66677740863788
1.8,81.8,89.0,-80.13333333333333
30.7,98.9,221.7,-98.80228013029317
78.1,27.7,340.09999999999997,-27.66158770806658
44.8,73.3,252.5,-73.2330357142857
40.0,86.2,246.2,-86.125
91.5,73.7,439.7,-73.6672131147541
37.4,12.4,162.0,-12.319786096256685
62.8,68.0,319.2,-67.95222929936305
5.4,29.3,50.900000000000006,-28.744444444444444
19.9,88.2,167.8,-88.04924623115578
51.8,28.1,235.29999999999998,-28.042084942084944
27.6,63.6,174.0,-63.49130434782609
1.7,10.3,17.1,-8.535294117647059
26.8,33.2,140.4,-33.08805970149254
81.5,19.5,345.5,-19.46319018404908
34.9,58.1,197.7,-58.01404011461318
15.6,71.9,134.3,-71.70769230769231
48.2,78.2,271.0,-78.13775933609959
1.5,95.2,101.2,-93.2
65.9,87.8,351.40000000000003,-87.75447647951441
35.7,70.0,212.8,-69.91596638655462
83.0,65.3,397.3,-65.26385542168674
75.9,29.4,333.0,-29.360474308300393
64.8,36.5,295.7,-36.4537037037037
96.7,53.6,440.40000000000003,-53.568976215098246
44.9,18.6,198.2,-18.533184855233856
97.7,8.7,399.5,-8.669293756397133
36.7,11.9,158.70000000000002,-11.818256130790191
36.2,81.5,226.3,-81.4171270718232
81.5,4.7,330.7,-4.66319018404908
54.8,42.1,261.3,-42.04525547445255
57.7,64.7,295.5,-64.64800693240902
19.0,83.8,159.8,-83.64210526315789
31.0,4.8,128.8,-4.703225806451613
23.1,9.0,101.4,-8.87012987012987
37.3,9.4,158.6,-9.319571045576408
38.6,74.2,228.60000000000002,-74.12227979274611
22.6,47.3,137.7,-47.16725663716814
14.6,84.0,142.4,-83.79452054794521
78.1,10.7,323.09999999999997,-10.66158770806658
34.1,18.8,155.20000000000002,-18.712023460410556
94.0,27.7,403.7,-27.66808510638298
73.3,3.4,296.59999999999997,-3.3590723055934513
97.6,1.2,391.59999999999997,-1.169262295081967
86.7,3.7,350.5,-3.6653979238754326
25.6,94.3,196.7,-94.1828125
78.5,87.0,401.0,-86.96178343949045
57.1,55.8,284.2,-55.74746059544658
74.0,43.5,339.5,-43.45945945945946
61.9,62.5,310.1,-62.45153473344104
99.8,24.9,424.09999999999997,-24.869939879759517
81.7,9.3,336.1,-9.263280293757651
30.5,15.0,137.0,-14.901639344262295
47.1,60.4,248.8,-60.33630573248408
1.5,55.7,61.7,-53.7
23.9,9.2,104.8,-9.074476987447698
91.3,10.3,375.5,-10.267141292442497
33.8,76.1,211.29999999999998,-76.01124260355029
78.0,93.9,405.9,-93.86153846153847
18.0,64.1,136.1,-63.93333333333333
89.4,11.1,368.70000000000005,-11.066442953020134
16.9,70.7,138.3,-70.5224852071006
18.0,17.0,89.0,-16.833333333333332
64.5,62.2,320.2,-62.15348837209303
12.2,80.1,128.89999999999998,-79.85409836065573
30.5,32.5,154.5,-32.40163934426229
18.9,40.4,116.0,-40.24126984126984
70.8,81.3,364.5,-81.25762711864407
62.5,55.3,305.3,-55.251999999999995
22.1,40.3,128.7,-40.164253393665156
34.2,95.1,231.9,-95.01228070175438
7.9,81.1,112.69999999999999,-80.72025316455695
54.5,53.3,271.3,-53.24495412844036
72.8,36.1,327.3,-36.05879120879121
87.4,32.8,382.40000000000003,-32.765675057208234
79.5,38.9,356.9,-38.862264150943396
45.4,31.3,212.9,-31.233920704845815
74.6,28.1,326.5,-28.059785522788204
30.4,26.1,147.7,-26.001315789473686
54.7,67.4,286.20000000000005,-67.34515539305302
78.0,22.9,334.9,-22.86153846153846
4.6,74.5,92.9,-73.84782608695652
99.0,19.9,415.9,-19.869696969696967
48.8,63.1,258.3,-63.03852459016394
44.5,66.5,244.5,-66.43258426966293
13.7,75.0,129.8,-74.78102189781022
83.5,43.6,377.6,-43.56407185628743
84.2,15.6,352.40000000000003,-15.564370546318289
60.0,78.3,318.3,-78.25
95.5,35.6,417.6,-35.56858638743456
34.8,6.2,145.39999999999998,-6.113793103448276
18.4,66.5,140.1,-66.33695652173913
1.6,93.7,100.10000000000001,-91.825
26.4,82.1,187.7,-81.98636363636363
85.9,10.8,354.40000000000003,-10.765075669383004
33.4,86.9,220.5,-86.81017964071857
93.0,6.7,378.7,-6.667741935483871
67.0,35.3,303.3,-35.255223880597015
70.8,39.9,323.09999999999997,-39.85762711864407
28.8,33.0,148.2,-32.895833333333336
5.2,68.9,89.7,-68.32307692307693
27.3,99.4,208.60000000000002,-99.29010989010989
39.6,13.5,171.9,-13.424242424242424
90.8,84.2,447.4,-84.1669603524229
56.1,33.2,257.6,-33.146524064171125
16.0,52.8,116.8,-52.6125
70.4,81.2,362.8,-81.15738636363636
27.1,93.8,202.2,-93.68929889298893
63.3,4.4,257.59999999999997,-4.352606635071091
19.2,95.7,172.5,-95.54375
37.4,61.8,211.39999999999998,-61.71978609625668
16.0,7.0,71.0,-6.8125
4.9,95.0,114.6,-94.38775510204081
87.7,47.3,398.1,-47.26579247434435
12.3,18.9,68.1,-18.65609756097561
54.2,11.0,227.8,-10.944649446494465
68.8,9.2,284.4,-9.156395348837208
80.4,58.1,379.70000000000005,-58.06268656716418
15.4,3.0,64.6,-2.8051948051948052
12.0,56.6,104.6,-56.35
54.2,22.5,239.3,-22.444649446494466
69.9,49.3,328.90000000000003,-49.25708154506437
67.2,58.0,326.8,-57.955357142857146
22.8,11.2,102.4,-11.068421052631578
3.1,86.0,98.4,-85.03225806451613
9.1,74.1,110.5,-73.77032967032966
55.6,97.0,319.4,-96.94604316546763
26.9,90.8,198.39999999999998,-90.68847583643122
56.2,86.9,311.70000000000005,-86.84661921708185
15.9,81.7,145.3,-81.51132075471699
11.4,31.0,76.6,-30.736842105263158
84.3,77.2,414.4,-77.1644128113879
56.2,73.1,297.9,-73.04661921708184
60.2,53.0,293.8,-52.95016611295681
73.8,41.4,336.59999999999997,-41.359349593495935
61.2,40.8,285.6,-40.75098039215686
63.7,26.6,281.40000000000003,-26.552904238618527
74.1,42.3,338.7,-42.25951417004048
81.8,12.2,339.4,-12.163325183374083
20.4,31.1,112.69999999999999,-30.95294117647059
22.7,57.8,148.6,-57.667841409691626
18.6,46.4,120.80000000000001,-46.23870967741935
63.1,20.4,272.8,-20.352456418383518
10.2,16.5,57.3,-16.205882352941178
88.9,29.6,385.20000000000005,-29.566254218222724
11.9,42.9,90.5,-42.647899159663865
56.2,31.6,256.40000000000003,-31.54661921708185
26.6,47.6,154.0,-47.48721804511278
69.8,63.4,342.59999999999997,-63.35702005730659
54.4,85.5,303.1,-85.44485294117646
14.9,65.6,125.19999999999999,-65.3986577181208
92.4,73.1,442.70000000000005,-73.06753246753246
85.2,9.7,350.5,-9.664788732394365
13.5,95.0,149.0,-94.77777777777777
65.6,98.0,360.4,-97.95426829268293
85.4,1.8,343.40000000000003,-1.764871194379391
96.8,60.7,447.9,-60.66900826446281
57.7,76.6,307.4,-76.54800693240901
47.2,4.7,193.5,-4.636440677966102
92.0,78.8,446.8,-78.76739130434783
6.9,59.1,86.7,-58.66521739130435
54.6,54.3,272.7,-54.24505494505494
37.5,35.7,185.7,-35.620000000000005
45.1,98.5,278.9,-98.43348115299335
11.6,58.6,105.0,-58.34137931034483
80.9,91.5,415.1,-91.4629171817058
12.7,68.8,119.6,-68.56377952755905
83.2,4.1,336.90000000000003,-4.063942307692307
17.7,98.3,169.1,-98.13050847457627
49.8,5.9,205.1,-5.839759036144579
51.5,8.3,214.3,-8.241747572815534
87.4,6.7,356.3,-6.665675057208238
52.9,41.9,253.5,-41.84328922495274
47.4,84.2,273.8,-84.1367088607595
76.5,12.3,318.3,-12.260784313725491
79.1,38.6,355.0,-38.562073324905185
31.2,32.3,157.1,-32.20384615384615
15.3,86.5,147.7,-86.30392156862744
68.9,34.5,310.1,-34.45645863570392
71.3,9.4,294.59999999999997,-9.357924263674615
31.3,95.3,220.5,-95.20415335463258
28.0,31.4,143.4,-31.29285714285714
84.7,12.0,350.8,-11.964580873671784
67.5,53.7,323.7,-53.65555555555556
17.9,17.9,89.5,-17.73240223463687
81.9,41.7,369.3,-41.663369963369966
70.2,56.9,337.7,-56.85726495726495
64.0,86.0,342.0,-85.953125
40.1,74.8,235.2,-74.72518703241894
10.1,13.1,53.5,-12.802970297029702
34.8,1.4,140.6,-1.3137931034482757
62.5,36.2,286.2,-36.152
90.3,28.2,389.4,-28.166777408637873
94.4,11.2,388.8,-11.16822033898305
47.8,59.9,251.1,-59.837238493723845
82.8,86.7,417.9,-86.66376811594203
19.0,45.7,121.7,-45.5421052631579
27.1,7.3,115.7,-7.18929889298893
89.6,93.7,452.09999999999997,-93.66651785714286
40.0,17.6,177.6,-17.525000000000002
3.3,97.3,110.5,-96.39090909090909
75.5,43.1,345.1,-43.060264900662254
85.6,40.0,382.4,-39.96495327102804
88.9,76.2,431.8,-76.16625421822272
70.6,31.3,313.7,-31.257507082152976
73.8,36.2,331.4,-36.15934959349594
50.7,68.5,271.3,-68.44082840236686
47.3,88.3,277.5,-88.23657505285412
96.8,20.1,407.3,-20.069008264462813
33.2,56.7,189.5,-56.60963855421687
73.5,2.4,296.4,-2.3591836734693876
94.0,91.6,467.6,-91.56808510638297
50.2,32.3,233.10000000000002,-32.2402390438247
5.3,27.7,48.9,-27.13396226415094
99.9,17.8,417.40000000000003,-17.76996996996997
36.7,45.6,192.4,-45.51825613079019
78.0,24.3,336.3,-24.26153846153846
90.4,23.0,384.6,-22.966814159292035
63.0,72.4,324.4,-72.35238095238095
89.1,88.8,445.2,-88.76632996632996
23.0,42.0,134.0,-41.869565217391305
94.1,37.8,414.2,-37.76811902231668
70.2,90.5,371.3,-90.45726495726495
93.0,91.1,463.1,-91.06774193548387
4.8,65.5,84.7,-64.875
85.0,79.8,419.8,-79.76470588235294
51.2,12.7,217.5,-12.64140625
88.9,44.9,400.5,-44.86625421822272
51.0,4.3,208.3,-4.241176470588235
38.6,95.9,250.3,-95.82227979274612
14.9,25.3,84.9,-25.098657718120805
11.4,21.1,66.7,-20.83684210526316
12.1,16.8,65.2,-16.55206611570248
70.8,19.6,302.8,-19.55762711864407
98.5,44.1,438.1,-44.06954314720812
19.8,38.6,117.80000000000001,-38.44848484848485
66.5,34.4,300.4,-34.354887218045114
83.2,62.9,395.7,-62.863942307692305
26.9,12.5,120.1,-12.388475836431226
22.0,84.9,172.9,-84.76363636363637
35.4,96.0,237.6,-95.91525423728814
19.8,84.2,163.4,-84.04848484848485
84.3,93.1,430.29999999999995,-93.0644128113879
3.0,91.2,103.2,-90.2
80.0,79.4,399.4,-79.36250000000001
86.1,4.6,349.0,-4.565156794425087
62.9,90.2,341.8,-90.1523052464229
18.3,41.4,114.6,-41.23606557377049
50.0,32.2,232.2,-32.14
19.5,54.5,132.5,-54.34615384615385
10.0,49.0,89.0,-48.7
56.2,86.0,310.8,-85.94661921708185
19.7,59.8,138.6,-59.64771573604061
42.9,73.3,244.89999999999998,-73.23006993006993
14.1,65.7,122.1,-65.4872340425532
99.3,4.3,401.5,-4.269788519637462
90.6,43.6,406.0,-43.566887417218545
44.2,28.4,205.20000000000002,-28.332126696832578
84.3,78.3,415.5,-78.2644128113879
59.5,93.5,331.5,-93.44957983193277
43.8,9.6,184.79999999999998,-9.531506849315068
7.3,83.6,112.8,-83.1890410958904
30.5,58.8,180.8,-58.70163934426229
35.2,62.2,203.0,-62.11477272727273
74.2,15.4,312.2,-15.359568733153639
73.3,83.0,376.2,-82.95907230559345
4.4,68.3,85.9,-67.61818181818181
36.0,42.0,186.0,-41.916666666666664
19.4,37.0,114.6,-36.845360824742265
6.7,89.2,116.0,-88.75223880597015
89.5,40.9,398.9,-40.866480446927376
7.2,60.6,89.4,-60.18333333333334
98.4,44.1,437.70000000000005,-44.06951219512195
49.6,12.9,211.3,-12.839516129032258
20.6,28.0,110.4,-27.854368932038835
77.6,63.6,374.0,-63.56134020618557
27.3,17.3,126.5,-17.19010989010989
55.3,3.1,224.29999999999998,-3.045750452079566
48.6,25.0,219.4,-24.938271604938272
95.1,87.7,468.09999999999997,-87.66845425867508
29.6,18.5,136.9,-18.39864864864865
78.8,43.8,359.0,-43.76192893401015
42.2,34.4,203.20000000000002,-34.32890995260664
46.3,93.8,279.0,-93.73520518358531
41.0,56.6,220.6,-56.52682926829269
26.8,11.0,118.2,-10.888059701492537
54.4,20.3,237.9,-20.24485294117647
69.7,72.1,350.9,-72.05695839311333
77.3,48.1,357.3,-48.06119016817594
40.1,51.2,211.60000000000002,-51.12518703241896
22.8,52.7,143.9,-52.568421052631585
